order_id,customer_id,order_date,amount
1,25,2023-05-14,32.76
2,12,2023-05-08,31.17
3,33,2023-05-19,48.84
4,26,2023-05-03,16.59
5,34,2023-05-21,37.27
6,22,2023-05-14,62.13
7,7,2023-05-03,31.80
8,28,2023-05-25,91.30
9,29,2023-05-08,83.38
10,34,2023-05-11,52.54
11,25,2023-05-02,12.15
12,7,2023-05-20,84.23
13,21,2023-05-23,76.50
14,12,2023-05-22,12.99
15,4,2023-05-27,47.26
16,29,2023-05-24,12.30
17,1,2023-05-20,65.75
18,17,2023-05-10,78.62
19,35,2023-05-16,59.84
20,29,2023-05-30,66.00
21,12,2023-05-26,89.26
22,21,2023-05-07,57.12
23,28,2023-05-18,92.81
24,27,2023-05-23,38.44
25,2,2023-05-08,13.72
26,5,2023-05-04,90.43
27,35,2023-05-13,86.78
28,18,2023-05-20,99.72
29,8,2023-05-29,81.09
30,37,2023-05-27,49.73
31,20,2023-05-19,5.48
32,8,2023-05-01,48.37
33,11,2023-05-28,0.42
34,26,2023-05-20,7.43
35,28,2023-05-04,59.67
36,25,2023-05-04,96.37
37,24,2023-05-29,47.67
38,40,2023-05-24,55.69
39,40,2023-05-26,4.80
40,34,2023-05-13,69.51
41,2,2023-05-26,61.26
42,4,2023-05-30,65.26
43,3,2023-05-19,12.81
44,6,2023-05-22,29.65
45,6,2023-05-23,46.53
46,10,2023-05-11,4.07
47,35,2023-05-25,43.54
48,35,2023-05-16,50.57
49,8,2023-05-28,26.68
50,31,2023-05-03,59.49
51,20,2023-05-04,66.10
52,13,2023-05-19,4.04
53,6,2023-05-20,3.38
54,16,2023-05-09,33.59
55,26,2023-05-02,5.55
56,33,2023-05-06,37.68
57,19,2023-05-03,14.68
58,8,2023-05-13,5.38
59,33,2023-05-10,15.36
60,35,2023-05-24,51.41
61,5,2023-05-08,3.31
62,20,2023-05-04,79.22
63,8,2023-05-01,0.97
64,39,2023-05-28,3.94
65,31,2023-05-03,33.14
66,1,2023-05-06,63.66
67,17,2023-05-28,44.86
68,26,2023-05-13,6.10
69,6,2023-05-24,16.72
70,19,2023-05-24,49.65
71,25,2023-05-17,8.61
72,40,2023-05-15,82.56
73,23,2023-05-12,41.87
74,39,2023-05-19,82.37
75,22,2023-05-18,12.13
76,39,2023-05-07,8.56
